id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,Year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
01nyVfrvVrPiW9iIhmBqq1,??????????????????????????????,32,371333,0,['Tsuyoshi Nagabuchi'],['5hHNaYRpbcz1qo09jeVcg8'],25/8/1990,1990,0.566,0.348,9,-12.502,1,0.024,0.723,1.37E-06,0.126,0.289,85.937,4
01S5BZufcnPB0fHCU5hWHV,Fadinho Da Comida,13,204733,0,['Tonicha'],['04NNtLc8u5efcgdjk1jKMA'],1/1/1990,1990,0.463,0.528,7,-14.066,1,0.0863,0.605,0,0.361,0.766,175.773,4
01s7OHqrFXCm0mzxRVkwh6,H??k?? p??k??,26,144428,0,['Edda Hei??r??n Backman'],['0QTRoLzdxFIseCfq9djuSX'],1/1/1990,1990,0.651,0.601,0,-11.461,1,0.0487,0.629,0.000592,0.0891,0.962,182.126,4
01TBkZyjbBynppEtdCTkhP,Sommer-Ferienlager (1. Teil),11,203013,0,['Kliby Und Caroline'],['5Uatz57u7vTcIp12rIXCuc'],1/1/1990,1990,0.711,0.681,0,-14.764,0,0.931,0.926,0,0.955,0.465,113.293,4
01x5nxspPObjaiZrMyDEyZ,Exilio,8,199006,0,['Los Orilleros'],['0AFOvjm9q9j1OVV8jh14E4'],20/2/1990,1990,0.577,0.496,4,-6.593,1,0.0594,0.91,5.90E-06,0.0738,0.628,139.202,3
01Z11C4aB2xenARZ7FzoCA,????????€????????????,18,152240,0,['????????????'],['1gzulBzR78tn24xwk6R22N'],1/3/1990,1990,0.795,0.495,10,-10.519,1,0.0491,0.723,0.73,0.134,0.972,106.202,4
01Z7TyUSEmF7vz1lLaKVBF,Der Gent aus Floridsdorf,8,115907,0,['Europa Charly'],['1ZjrkIHg0JbeYZILAucS3O'],1/6/1990,1990,0.552,0.172,0,-16.54,1,0.0551,0.967,0.214,0.0986,0.798,91.214,4
020Dw2Ggj8DUKaEfrIU6Ou,Himlen ??r bl??,16,290467,0,['Rolf Wikstr??m'],['6JnHX2U0qF3EcoAHta5V3r'],1/1/1990,1990,0.919,0.58,6,-12.201,0,0.0333,0.327,0.0513,0.0469,0.965,96.734,4
021jmGJUrMmS92WnBWvoAC,072 - Taschengeld f??r ein Gespenst - Teil 19,27,115227,0,['TKKG Retro-Archiv'],['0i38tQX5j4gZ0KS3eCMoIl'],1/6/1990,1990,0.746,0.578,7,-9.477,1,0.947,0.569,0,0.741,0.63,84.94,5
021WTYl12LBqX0WHs4gZDp,S?? sem aldrei sefur,1,230946,0,['Bubbi Morthens'],['0MtTfq27LQu7CmE5t308Up'],1/1/1990,1990,0.291,0.356,7,-10.03,0,0.04,0.881,1.06E-05,0.119,0.151,170.815,5
02dswsyL72cunlsjBJY8mn,?????????????????????????????????,19,214867,0,['Kaori Sakagami'],['1PYBiW2I9bCoEXonpzw6gr'],14/11/1990,1990,0.742,0.854,10,-8.679,0,0.0298,0.333,0.128,0.0502,0.961,140.098,4
02H0MP5R6nlGewf39s35c4,Tenis,18,129813,0,['Eugenio'],['7zezTmoorDLqSCqT3j5Tpr'],20/3/1990,1990,0.473,0.211,2,-27.176,1,0.943,0.814,2.90E-06,0.968,0.501,81.073,3
02HqwkUZsvFgfTq2tg6qfs,En Vandringsman,17,157200,0,['Mora Tr??sk'],['4brCOY5t3EebZpmZGsZ7JC'],1/9/1990,1990,0.854,0.85,7,-9.751,1,0.0785,0.138,0,0.0212,0.967,125.02,4
02ITp66FOohSfG9U1OMk4I,???????????????,17,142827,0,"['?????????', 'Unknown']","['0D6IxXCJJ8zJouzYihiIJm', '70XDQznwvvFLK2HZrI7Cau']",25/1/1990,1990,0.516,0.764,1,-8.684,0,0.0603,0.025,1.31E-05,0.0742,0.574,161.891,4
02KLiEs31kxh1krQJezlTL,I've Been Thinking About You,40,317933,0,['Londonbeat'],['0gcMPgunYh4rX1UOdvZKBn'],1/1/1990,1990,0.63,0.595,11,-14.986,0,0.038,0.0434,0.0363,0.0902,0.878,113.561,4
02LiuGa8e7RdOf2z48o4MS,El Circo Solim??n,6,295000,0,"['Jos?? Carbajal ""El Sabalero""']",['2AlStpp6v7JIRlK4ybvifg'],1/1/1990,1990,0.644,0.31,4,-11.825,0,0.032,0.49,0.000563,0.0987,0.264,93.34,4
